"Matkan kohdekunta";"Vuosi";"Majoitus";"Yön yli matkoja, tuhatta matkaa";"Matkojen muutos, %";"Yöpymisiä, tuhatta yöpymistä";"Yöpymisten muutos, %";"Matkan keskimääräinen kesto, yötä";"Matkan mediaanikesto, yötä"
"Alajärvi";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Alajärvi";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Alavus";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Asikkala";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Enontekiö";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Espoo";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Forssa";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Hamina";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2021";"Maksullinen majoitus";100;..;220;..;2.2;2.0
"Hanko";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Hanko";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Heinola";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Helsinki";"2012";"Maksullinen majoitus";850;..;1550;..;1.8;2.0
"Helsinki";"2013";"Maksullinen majoitus";790;-7;1330;-14;1.7;1.0
"Helsinki";"2014";"Maksullinen majoitus";780;-2;1350;1;1.7;2.0
"Helsinki";"2015";"Maksullinen majoitus";900;16;1640;21;1.8;1.0
"Helsinki";"2016";"Maksullinen majoitus";850;-6;1430;-13;1.7;1.0
"Helsinki";"2017";"Maksullinen majoitus";970;13;1700;19;1.8;1.0
"Helsinki";"2018";"Maksullinen majoitus";850;-12;1660;-3;2.0;2.0
"Helsinki";"2019";"Maksullinen majoitus";990;16;1800;9;1.8;2.0
"Helsinki";"2020";"Maksullinen majoitus";430;-56;900;-50;2.1;2.0
"Helsinki";"2021";"Maksullinen majoitus";620;42;1330;48;2.1;2.0
"Helsinki";"2022";"Maksullinen majoitus";850;37;1720;29;2.0;1.0
"Helsinki";"2023";"Maksullinen majoitus";550;-35;1030;-40;1.9;2.0
"Hirvensalmi";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Hirvensalmi";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Hollola";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2013";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2016";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2017";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2018";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2019";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2020";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2021";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2022";"Maksullinen majoitus";.;.;.;.;.;.
"Hyvinkää";"2023";"Maksullinen majoitus";.;.;.;.;.;.
"Hämeenlinna";"2012";"Maksullinen majoitus";.;.;.;.;.;.
"Hämeenlinna";"2013";"Maksullinen majoitus";120;..;250;..;2.1;1.0
"Hämeenlinna";"2014";"Maksullinen majoitus";.;.;.;.;.;.
"Hämeenlinna";"2015";"Maksullinen majoitus";.;.;.;.;.;.
"Hämeenlinna";"2016";"Maksullinen majoitus";120;..;240;..;2.0;1.0
"Hämeenlinna";"2017";"Maksullinen majoitus";120;3;230;-7;1.9;2.0
"Hämeenlinna";"2018";"Maksullinen majoitus";130;14;290;27;2.2;1.0
"Hämeenlinna";"2019";"Maksullinen majoitus";170;22;320;13;1.9;1.5
"Hämeenlinna";"2020";"Maksullinen majoitus";100;-38;180;-44;1.8;2.0
